loss,class
5.459189569864012e-08,0.0
2.588927822361251e-08,0.0
1.7505586636896087e-07,0.0
2.7823448990185414e-08,0.0
1.0567903814490485e-07,0.0
5.8323176346419615e-06,0.0
2.8571487309076193e-08,0.0
3.0985475497095736e-08,0.0
1.45971779305117e-08,0.0
2.6881993572432887e-07,0.0
2.0676851864964204e-08,0.0
7.289946283998842e-08,0.0
3.7987090219509144e-05,0.0
3.9357502369124845e-05,0.0
1.925557906462284e-07,0.0
8.766651400184732e-08,0.0
1.3952970895320215e-06,0.0
1.934468800401086e-08,0.0
5.3876639935114984e-08,0.0
6.907582477124625e-08,0.0
1.2437105526886235e-07,0.0
1.1010170294751823e-07,0.0
1.0547936258545148e-07,0.0
1.258492505430869e-07,0.0
5.2788855153529785e-08,0.0
6.435156048702453e-07,0.0
4.229546307596088e-05,0.0
1.0588169393161769e-07,0.0
1.9624829866004146e-08,0.0
1.4685690818896703e-07,0.0
1.0756850544707411e-07,0.0
3.7917495871054944e-08,0.0
6.775260164758254e-08,0.0
3.4451485684075343e-08,0.0
3.392100428819491e-08,0.0
1.4887750565708774e-07,0.0
2.0712614647589346e-08,0.0
1.5232563448051034e-07,0.0
1.0232925704309031e-07,0.0
2.4318695793321168e-08,0.0
5.898177789037671e-08,0.0
1.5988946447677332e-08,0.0
1.24856833144828e-07,0.0
7.759928922182444e-08,0.0
2.2497773829142686e-08,0.0
1.5127659270880976e-08,0.0
1.1252165159005677e-07,0.0
1.7967820678653876e-08,0.0
1.4135241928133207e-08,0.0
3.529906372110904e-07,0.0
1.4621019804098846e-08,0.0
6.906688408946774e-08,0.0
1.2219250547843244e-07,0.0
1.3342202083255033e-07,0.0
9.981982987140571e-05,0.0
1.191020045367724e-07,0.0
8.099675407081325e-08,0.0
6.868243410685853e-08,0.0
4.579424989609879e-08,0.0
1.10641124969666e-07,0.0
4.100203630268484e-08,0.0
2.5251508479856654e-08,0.0
1.2491047734652127e-07,0.0
2.7936697792579836e-08,0.0
2.2396445908030685e-07,0.0
2.6634336263063303e-06,0.0
2.6088953783065864e-08,0.0
1.840084842665519e-07,0.0
1.1120736909266041e-07,0.0
7.545948244127918e-08,0.0
9.999854844329385e-05,0.0
1.2429058902183357e-07,0.0
1.237392462016701e-08,0.0
1.556277322792398e-08,0.0
3.7987090219509144e-05,0.0
2.7135015327506923e-08,0.0
1.1906028129962827e-07,0.0
1.267880236841414e-07,0.0
1.0749996010908333e-07,0.0
1.3454556845227183e-07,0.0
1.7209947593153405e-07,0.0
5.79535977650038e-08,0.0
1.1584759087379531e-07,0.0
1.6039610361048852e-07,0.0
4.77194799808932e-08,0.0
3.798709617996366e-05,0.0
1.0093450829866518e-07,0.0
9.271800781092692e-08,0.0
1.0657608810432634e-07,0.0
1.564323947495276e-08,0.0
5.023777628952867e-08,0.0
1.6819239133299244e-07,0.0
1.5720129454821257e-07,0.0
5.5602194460456037e-08,0.0
2.7484682971022574e-05,0.0
1.1306107361220455e-07,0.0
3.605485066973233e-08,0.0
1.0111928272182104e-07,0.0
8.750260122501911e-08,0.0
3.7987090219509144e-05,0.0
3.907632340997216e-05,0.0
1.3934374244469362e-07,0.0
2.723038276634435e-08,0.0
9.58144691515948e-08,0.0
3.2770634623137925e-08,0.0
3.05145987574276e-08,0.0
2.445131608955568e-07,0.0
2.202987731673404e-08,0.0
8.916557086688839e-08,0.0
3.178715796216865e-08,0.0
1.1391640027897075e-07,0.0
6.114244637276077e-08,0.0
1.2105405672241347e-07,0.0
2.7135015327506923e-08,0.0
3.20315370415368e-08,0.0
3.7987090219509144e-05,0.0
1.5872717351410028e-07,0.0
1.3152242075214764e-06,0.0
3.1673909159774234e-08,0.0
2.8735400085904405e-08,0.0
1.4185905847055844e-08,0.0
1.5119016595175085e-07,0.0
6.783902834913033e-08,0.0
2.5285781137749813e-07,0.0
3.7987090219509144e-05,0.0
1.4864206731500922e-07,0.0
1.2419522158299614e-07,0.0
4.1455031623284836e-08,0.0
2.9191375633763902e-08,0.0
2.0381808866673423e-08,0.0
3.2892824162822e-08,0.0
1.0706484620755147e-07,0.0
5.4425002694552405e-08,0.0
3.798789488220148e-05,0.0
1.305490768694118e-07,0.0
1.4437437460744555e-07,0.0
7.811486942589622e-08,0.0
2.1323562290498557e-08,0.0
2.4563074817178163e-08,0.0
3.768513308059813e-05,0.0
3.798722432995786e-05,0.0
1.4367402003572908e-07,0.0
3.7987090219509144e-05,0.0
2.8249622209938767e-08,0.0
4.253685595035104e-08,0.0
6.551444714542921e-08,0.0
3.115832895570245e-08,0.0
1.6169250468881674e-07,0.0
4.040300962432478e-08,0.0
4.500150811280437e-08,0.0
2.888808033195717e-05,0.0
2.886056985284798e-08,0.0
3.7987090219509144e-05,0.0
1.3971329129100534e-07,0.0
7.53968975578074e-08,0.0
8.740425355892219e-08,0.0
2.1416247497046858e-07,0.0
2.4250150455330386e-08,0.0
7.831454498534957e-08,0.0
1.0108948072678181e-08,0.0
5.436539803834012e-08,0.0
1.0991990875162186e-07,0.0
3.046095461124546e-08,0.0
3.115832895570245e-08,0.0
4.247427106687925e-08,0.0
2.2488833147364188e-08,0.0
9.969771187654926e-08,0.0
1.3134181870821736e-07,0.0
1.0628104510603556e-07,0.0
1.3039112460261372e-07,0.0
1.4619529657162403e-07,0.0
2.5993586344228434e-08,0.0
2.7203560665497708e-08,0.0
3.7987090219509144e-05,0.0
2.3525953954515598e-08,0.0
3.7987090219509144e-05,0.0
2.8964877973463903e-08,0.0
5.737841290471973e-08,0.0
3.778934587685188e-08,0.0
2.37375504785181e-08,0.0
1.197308335432386e-07,0.0
5.542934100184933e-08,0.0
7.117390831464737e-08,0.0
1.7809868356344663e-08,0.0
2.9389409052747687e-05,0.0
2.886056985284798e-08,0.0
5.8126451223610506e-08,0.0
2.2786856372914472e-08,0.0
3.307461830320721e-08,0.0
1.0271966748021852e-07,0.0
8.75502849721934e-08,0.0
1.4935434285127486e-07,0.0
6.79433365252574e-08,0.0
1.0022819321691853e-07,0.0
6.702244469224877e-08,0.0
